BM,VM,BH,AS,DC,EN,AP,LN,GS,ME,GC,LH,PE,PS,MD1,LC,EE,AF,LB,MD2,CP,UT,R,US
85,35,11,9,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,4,12,0,0
58,68,5,19,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,1,21,12,0,0
51,35,5,20,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0
47,30,11,15,1,1,0,0,3,0,1,0,2,0,0,0,0,1,0,0,33,10,0,0
22,35,4,18,0,1,0,0,5,0,0,0,3,0,3,0,0,0,0,5,33,10,0,0
17,13,2,49,2,2,0,0,5,0,1,0,11,0,5,0,0,0,0,9,33,19,0,0
19,17,1,27,0,2,0,0,14,0,0,0,85,0,4,0,0,0,0,18,35,16,0,0
5,14,28,26,0,1,0,0,16,0,0,0,78,0,5,0,0,0,0,9,45,21,0,0
4,5,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
5,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
26,47,0,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0
22,61,0,30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,17,0,0
18,130,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,23,0,0
27,243,0,0,0,4,0,1,3,0,1,0,0,0,0,0,0,0,0,0,15,13,0,0
31,137,1,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,4,4,0,0
42,91,6,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0
45,63,8,16,0,1,0,0,8,0,1,0,0,0,0,0,0,0,1,0,2,19,0,0
65,65,3,14,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,20,19,0,0
42,43,8,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0
12,14,6,25,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,21,5,0,0
15,43,6,37,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,30,9,0,0
9,22,0,36,1,1,0,0,15,0,0,1,2,0,1,0,0,0,0,4,15,16,0,0
5,14,6,59,0,1,0,0,15,0,1,0,5,0,2,0,1,0,1,1,12,7,0,0
24,12,1,53,0,1,0,1,11,0,1,2,8,0,7,0,0,0,0,3,46,7,0,0
0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0
14,26,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0
